#n	U	s1	t1	s2	t2	v1	v2	r	q	n	e
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
300	300	300	300	300	400	400	400	400	500	500	500	500	500	500
0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003
2,13	1,36	1,36	2,19	1,04	1,09	2,01	0,87	1,12	1,54	1,41	0,93	1,05	1,52	1,57
0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003	0,0003
5,52	4,26	4,54	4,16	9,06	11,87	4,74	9,49	4,07	5,17	6,11	3,36	3,81	4,57	4,89
0,000140845	0,000220588	0,000220588	0,000136986	0,000288462	0,000275229	0,000149254	0,000344828	0,000267857	0,000194805	0,000212766	0,000322581	0,000285714	0,000197368	0,000191083
5,435E-05	7,042E-05	6,608E-05	7,212E-05	3,311E-05	2,527E-05	6,329E-05	3,161E-05	7,371E-05	5,803E-05	4,91E-05	8,929E-05	7,874E-05	6,565E-05	6,135E-05
5,92435E-07	7,80593E-07	7,91801E-07	5,13056E-07	1,0179E-06	1,0071E-06	5,90601E-07	1,12736E-06	8,87575E-07	7,44985E-07	8,14927E-07	9,72953E-07	9,16426E-07	7,31089E-07	7,25546E-07
1,65199E-19	3,24516E-19	3,24262E-19	1,53258E-19	4,67616E-19	3,24252E-19	1,34496E-19	4,54695E-19	3,24821E-19	1,61448E-19	1,82916E-19	3,4348E-19	2,86282E-19	1,64817E-19	1,56987E-19
1	2	2	1	3	2	1	3	2	1	1	2	2	1	1
1,652E-19	1,623E-19	1,621E-19	1,533E-19	1,559E-19	1,621E-19	1,345E-19	1,516E-19	1,624E-19	1,614E-19	1,829E-19	1,717E-19	1,431E-19	1,648E-19	1,57E-19
